Name            Surname         Final (Avg.)     Final (Med.)
Name48756       Surname48756            3.80             4.40
Name48755       Surname48755            3.00             7.20
Name48754       Surname48754            4.60             3.40
Name66024       Surname66024            3.00             2.40
Name48751       Surname48751            4.20             4.20
Name66026       Surname66026            3.20             2.60
Name48748       Surname48748            4.20             4.20
Name66028       Surname66028            4.80             2.40
Name66029       Surname66029            3.60             7.20
Name48745       Surname48745            4.00             5.80
Name48744       Surname48744            4.80             5.40
Name66032       Surname66032            3.40             5.20
Name66033       Surname66033            2.80             4.00
Name48742       Surname48742            3.20             2.00
Name66035       Surname66035            3.40             5.80
Name66036       Surname66036            4.80             6.60
Name66037       Surname66037            4.20             2.40
Name48737       Surname48737            4.20             3.60
Name66039       Surname66039            4.80             4.80
Name66040       Surname66040            3.40             2.20
Name48733       Surname48733            3.80             2.60
Name66042       Surname66042            4.60             4.60
Name66043       Surname66043            4.60             4.00
Name48732       Surname48732            4.20             7.20
Name66045       Surname66045            2.20             2.20
Name66046       Surname66046            4.40             2.60
Name66047       Surname66047            4.60             5.80
Name48730       Surname48730            4.40             5.60
Name66049       Surname66049            3.40             2.80
Name48729       Surname48729            2.80             2.80
Name66051       Surname66051            3.80             2.60
Name48727       Surname48727            3.40             2.80
Name66053       Surname66053            4.40             3.20
Name66054       Surname66054            4.60             2.80
Name48725       Surname48725            2.80             2.20
Name66056       Surname66056            4.00             6.40
Name48723       Surname48723            4.20             4.80
Name48722       Surname48722            3.80             1.40
Name66059       Surname66059            4.60             2.20
Name48721       Surname48721            4.40             3.80
Name66061       Surname66061            4.80             6.00
Name48720       Surname48720            4.40             3.20
Name48719       Surname48719            2.20             1.60
Name66064       Surname66064            2.80             1.60
Name48718       Surname48718            3.00             3.00
Name66066       Surname66066            4.40             3.20
Name48717       Surname48717            2.80             3.40
Name66068       Surname66068            4.20             3.60
Name66069       Surname66069            3.80             3.20
Name48715       Surname48715            4.40             5.00
Name48713       Surname48713            4.60             6.40
Name48711       Surname48711            3.40             2.20
Name48710       Surname48710            4.20             4.20
Name48707       Surname48707            4.80             4.80
Name48706       Surname48706            3.60             5.40
Name66076       Surname66076            2.60             6.80
Name66077       Surname66077            4.60             3.40
Name66078       Surname66078            4.80             4.80
Name66079       Surname66079            4.80             5.40
Name48701       Surname48701            4.20             2.40
Name48700       Surname48700            4.60             2.20
Name48698       Surname48698            4.80             6.60
Name48694       Surname48694            4.80             5.40
Name48693       Surname48693            3.80             6.80
Name66085       Surname66085            4.60             4.00
Name66086       Surname66086            3.60             4.80
Name66087       Surname66087            2.80             2.80
Name48692       Surname48692            3.20             5.00
Name48691       Surname48691            4.80             6.60
Name48685       Surname48685            4.80             7.20
Name48683       Surname48683            4.80             4.20
Name66092       Surname66092            4.20             7.80
Name48682       Surname48682            3.80             5.00
Name66094       Surname66094            4.60             6.40
Name66095       Surname66095            4.40             3.80
Name48680       Surname48680            4.00             2.20
Name48679       Surname48679            3.40             2.20
Name48677       Surname48677            4.60             4.00
Name48674       Surname48674            4.00             6.40
Name48673       Surname48673            3.60             3.60
Name66101       Surname66101            4.00             4.60
Name66102       Surname66102            4.40             6.20
Name66103       Surname66103            4.40             5.60
Name66104       Surname66104            4.80             4.80
Name48660       Surname48660            3.20             3.20
Name66106       Surname66106            4.60             7.00
Name66107       Surname66107            4.60             6.40
Name48658       Surname48658            3.00             3.60
Name66109       Surname66109            3.60             3.00
Name48653       Surname48653            4.60             4.60
Name48648       Surname48648            4.20             7.20
Name48644       Surname48644            3.20             4.40
Name48641       Surname48641            3.80             4.40
Name48640       Surname48640            4.40             3.20
Name66115       Surname66115            4.60             4.00
Name48638       Surname48638            4.40             2.00
Name48634       Surname48634            4.40             1.40
Name48631       Surname48631            4.80             5.40
Name66119       Surname66119            4.80             3.60
Name66120       Surname66120            3.20             2.60
Name48629       Surname48629            4.40             6.20
Name48628       Surname48628            4.00             3.40
Name48626       Surname48626            3.60             4.20
Name48622       Surname48622            3.00             2.40
Name48616       Surname48616            2.60             1.40
Name66126       Surname66126            4.20             6.60
Name66127       Surname66127            3.40             3.40
Name48615       Surname48615            4.20             7.20
Name48613       Surname48613            4.60             7.00
Name48612       Surname48612            4.20             2.40
Name48608       Surname48608            4.40             6.20
Name48607       Surname48607            3.40             6.40
Name48606       Surname48606            4.20             5.40
Name48604       Surname48604            4.60             5.80
Name66135       Surname66135            4.60             4.60
Name66136       Surname66136            2.80             2.80
Name48603       Surname48603            4.60             2.20
Name48599       Surname48599            4.00             5.20
Name48597       Surname48597            4.00             7.60
Name48596       Surname48596            4.60             5.80
Name66141       Surname66141            2.80             4.00
Name48594       Surname48594            4.80             7.20
Name66143       Surname66143            4.40             2.60
Name66144       Surname66144            3.20             3.80
Name48591       Surname48591            4.60             4.00
Name48589       Surname48589            4.60             7.00
Name66147       Surname66147            4.40             7.40
Name48586       Surname48586            4.00             1.00
Name48580       Surname48580            4.60             7.60
Name48578       Surname48578            2.60             1.40
Name66151       Surname66151            3.40             1.60
Name48577       Surname48577            4.60             7.60
Name48574       Surname48574            4.20             7.80
Name48571       Surname48571            3.40             4.00
Name48570       Surname48570            3.60             3.60
Name66156       Surname66156            4.20             7.20
Name48567       Surname48567            4.40             3.20
Name48565       Surname48565            4.60             4.60
Name48561       Surname48561            3.40             5.20
Name66160       Surname66160            4.00             5.80
Name66161       Surname66161            3.20             3.80
Name48560       Surname48560            3.60             2.40
Name66163       Surname66163            3.40             4.00
Name48557       Surname48557            4.20             2.40
Name48556       Surname48556            3.40             1.00
Name66166       Surname66166            3.60             1.80
Name66167       Surname66167            2.80             3.40
Name48554       Surname48554            3.60             3.00
Name66169       Surname66169            2.80             4.60
Name48553       Surname48553            4.00             3.40
Name66171       Surname66171            3.40             6.40
Name48551       Surname48551            4.60             4.00
Name66173       Surname66173            4.80             3.60
Name48549       Surname48549            4.80             6.00
Name66175       Surname66175            4.20             3.60
Name48544       Surname48544            2.80             2.20
Name66177       Surname66177            4.20             3.00
Name48542       Surname48542            3.60             4.80
Name48538       Surname48538            3.80             3.20
Name66180       Surname66180            3.40             2.80
Name66181       Surname66181            3.60             6.00
Name66182       Surname66182            4.80             4.20
Name48532       Surname48532            2.80             6.40
Name48530       Surname48530            4.80             5.40
Name48528       Surname48528            4.40             5.00
Name48527       Surname48527            3.80             6.80
Name48526       Surname48526            3.00             2.40
Name66188       Surname66188            4.80             5.40
Name48525       Surname48525            4.40             4.40
Name66190       Surname66190            2.60             3.20
Name48524       Surname48524            4.60             6.40
Name48523       Surname48523            3.40             4.00
Name48521       Surname48521            4.40             4.40
Name48519       Surname48519            3.80             3.20
Name66195       Surname66195            4.40             6.20
Name66196       Surname66196            3.20             2.00
Name66197       Surname66197            3.20             4.40
Name48518       Surname48518            4.20             1.80
Name66199       Surname66199            4.40             3.80
Name48517       Surname48517            3.40             3.40
Name66201       Surname66201            4.60             2.20
Name66202       Surname66202            4.60             5.80
Name48516       Surname48516            3.40             2.20
Name48514       Surname48514            3.60             2.40
Name66205       Surname66205            2.60             3.80
Name66206       Surname66206            4.60             4.60
Name48511       Surname48511            4.20             7.20
Name66208       Surname66208            4.60             4.00
Name66209       Surname66209            4.40             3.20
Name66210       Surname66210            3.00             1.80
Name66211       Surname66211            3.00             6.00
Name48508       Surname48508            2.60             3.20
Name48506       Surname48506            3.40             2.80
Name66214       Surname66214            4.80             6.60
Name48505       Surname48505            4.20             5.40
Name48504       Surname48504            2.80             2.20
Name48498       Surname48498            4.00             4.00
Name48497       Surname48497            3.20             3.20
Name48494       Surname48494            2.80             6.40
Name48491       Surname48491            4.00             2.80
Name48490       Surname48490            4.20             1.80
Name48485       Surname48485            4.60             2.80
Name66223       Surname66223            1.60             1.00
Name48483       Surname48483            3.80             3.80
Name48480       Surname48480            4.20             4.80
Name66226       Surname66226            3.00             3.00
Name66227       Surname66227            2.60             4.40
Name48473       Surname48473            4.20             5.40
Name48472       Surname48472            4.00             1.60
Name66230       Surname66230            4.60             4.60
Name66231       Surname66231            4.00             2.80
Name66232       Surname66232            4.60             5.80
Name66233       Surname66233            4.40             6.20
Name48471       Surname48471            4.20             6.60
Name48470       Surname48470            3.40             2.80
Name48468       Surname48468            2.80             3.40
Name48465       Surname48465            3.80             3.80
Name48460       Surname48460            4.20             3.60
Name48459       Surname48459            4.00             1.60
Name48458       Surname48458            4.80             3.60
Name48455       Surname48455            3.60             4.20
Name48454       Surname48454            3.20             5.60
Name48450       Surname48450            4.00             3.40
Name48445       Surname48445            4.00             4.60
Name48439       Surname48439            4.80             6.00
Name66246       Surname66246            4.40             6.80
Name48437       Surname48437            3.20             5.00
Name48435       Surname48435            4.80             6.60
Name48433       Surname48433            3.20             6.20
Name66250       Surname66250            4.00             6.40
Name48431       Surname48431            4.20             2.40
Name48430       Surname48430            3.60             4.20
Name66253       Surname66253            4.40             5.00
Name66254       Surname66254            3.40             2.80
Name48429       Surname48429            4.20             3.60
Name48418       Surname48418            2.80             1.60
Name66257       Surname66257            2.80             4.00
Name48415       Surname48415            2.80             5.80
Name66259       Surname66259            4.20             2.40
Name48413       Surname48413            4.00             3.40
Name48411       Surname48411            4.00             5.80
Name48407       Surname48407            4.80             4.20
Name66263       Surname66263            3.40             6.40
Name48405       Surname48405            4.80             6.00
Name66265       Surname66265            4.80             3.60
Name48403       Surname48403            2.80             4.00
Name66267       Surname66267            4.00             4.00
Name66268       Surname66268            3.60             1.80
Name48400       Surname48400            2.20             2.20
Name48397       Surname48397            4.60             7.00
Name48395       Surname48395            4.60             6.40
Name48393       Surname48393            1.60             1.00
Name48392       Surname48392            4.80             4.20
Name48390       Surname48390            4.40             4.40
Name66275       Surname66275            3.00             2.40
Name48389       Surname48389            3.20             3.80
Name66277       Surname66277            2.20             2.80
Name48385       Surname48385            4.00             4.60
Name48384       Surname48384            4.00             6.40
Name66280       Surname66280            3.80             4.40
Name48381       Surname48381            4.60             2.20
Name66282       Surname66282            4.40             5.00
Name66283       Surname66283            4.40             3.80
Name66284       Surname66284            3.20             1.40
Name48379       Surname48379            4.00             6.40
Name48372       Surname48372            4.00             3.40
Name66287       Surname66287            4.60             2.80
Name66288       Surname66288            2.20             1.00
Name48364       Surname48364            4.20             3.00
Name66290       Surname66290            4.60             7.60
Name66291       Surname66291            4.60             3.40
Name48363       Surname48363            4.00             3.40
Name48357       Surname48357            4.80             6.60
Name48355       Surname48355            3.40             4.00
Name48354       Surname48354            2.80             3.40
Name48351       Surname48351            4.20             3.60
Name66297       Surname66297            3.20             2.60
Name48345       Surname48345            4.60             5.20
Name66299       Surname66299            2.60             2.00
Name48341       Surname48341            3.20             2.60
Name66301       Surname66301            3.40             3.40
Name48338       Surname48338            3.40             5.80
Name48337       Surname48337            3.20             2.60
Name48335       Surname48335            4.40             4.40
Name66305       Surname66305            4.80             4.20
Name48332       Surname48332            3.40             5.80
Name66307       Surname66307            3.40             2.20
Name48331       Surname48331            2.60             2.60
Name48329       Surname48329            4.80             7.20
Name66310       Surname66310            3.20             5.00
Name48326       Surname48326            4.80             2.40
Name66312       Surname66312            4.00             7.60
Name66313       Surname66313            4.40             4.40
Name48321       Surname48321            3.60             4.20
Name66315       Surname66315            4.80             6.00
Name48320       Surname48320            3.40             4.00
Name48318       Surname48318            4.40             3.20
Name48311       Surname48311            3.20             5.00
Name66319       Surname66319            4.60             2.20
Name48309       Surname48309            3.40             3.40
Name48308       Surname48308            3.80             4.40
Name66322       Surname66322            2.60             2.60
Name48306       Surname48306            2.40             3.00
Name48304       Surname48304            4.40             6.20
Name48301       Surname48301            4.40             5.00
Name48300       Surname48300            4.00             2.20
Name48299       Surname48299            4.40             2.60
Name48298       Surname48298            4.60             2.20
Name48296       Surname48296            4.40             2.60
Name48293       Surname48293            3.40             2.80
Name48290       Surname48290            4.60             4.60
Name48289       Surname48289            4.60             2.20
Name48288       Surname48288            4.60             5.80
Name66334       Surname66334            3.20             1.40
Name48285       Surname48285            3.60             5.40
Name66336       Surname66336            4.40             4.40
Name48284       Surname48284            3.20             1.40
Name66338       Surname66338            2.40             3.60
Name66339       Surname66339            3.80             3.20
Name66340       Surname66340            3.40             1.60
Name48283       Surname48283            4.20             3.60
Name48282       Surname48282            3.80             3.20
Name48281       Surname48281            4.40             6.20
Name66344       Surname66344            3.60             3.00
Name48278       Surname48278            2.80             4.00
Name48277       Surname48277            3.40             2.20
Name66347       Surname66347            4.00             1.00
Name48273       Surname48273            4.40             6.80
Name48272       Surname48272            3.40             1.60
Name66350       Surname66350            4.00             5.20
Name66351       Surname66351            3.40             2.20
Name66352       Surname66352            4.80             4.20
Name48271       Surname48271            4.60             4.00
Name66354       Surname66354            3.80             3.80
Name66355       Surname66355            2.60             1.40
Name66356       Surname66356            2.80             1.00
Name66357       Surname66357            2.80             2.80
Name48270       Surname48270            4.80             6.00
Name66359       Surname66359            4.00             3.40
Name48268       Surname48268            3.20             2.60
Name66361       Surname66361            2.80             2.80
Name66362       Surname66362            4.80             4.20
Name66363       Surname66363            4.40             5.00
Name48266       Surname48266            4.00             6.40
Name48263       Surname48263            3.60             6.00
Name48260       Surname48260            3.60             2.40
Name66367       Surname66367            3.60             6.00
Name48259       Surname48259            3.60             4.20
Name48258       Surname48258            4.00             4.00
Name66370       Surname66370            4.00             5.80
Name48257       Surname48257            3.20             4.40
Name48255       Surname48255            2.80             4.00
Name66373       Surname66373            3.20             6.80
Name48250       Surname48250            4.60             2.20
Name48246       Surname48246            4.60             7.60
Name66376       Surname66376            4.80             7.80
Name48243       Surname48243            4.40             6.20
Name48242       Surname48242            4.60             5.80
Name66379       Surname66379            2.80             1.60
Name48241       Surname48241            3.60             2.40
Name48240       Surname48240            4.00             4.60
Name48237       Surname48237            3.20             6.20
Name48236       Surname48236            2.80             2.20
Name66384       Surname66384            3.40             4.00
Name48235       Surname48235            4.40             5.00
Name66386       Surname66386            3.20             4.40
Name48233       Surname48233            4.00             6.40
Name48232       Surname48232            4.40             2.60
Name48231       Surname48231            4.40             2.60
Name48228       Surname48228            3.60             6.60
Name48227       Surname48227            3.60             4.80
Name66392       Surname66392            3.00             1.80
Name48226       Surname48226            4.00             4.00
Name48225       Surname48225            4.80             4.80
Name66395       Surname66395            2.40             3.00
Name48224       Surname48224            4.40             7.40
Name48220       Surname48220            4.40             3.20
Name48218       Surname48218            4.80             5.40
Name48217       Surname48217            4.20             4.20
Name66400       Surname66400            3.80             3.20
Name66401       Surname66401            2.20             1.00
Name48216       Surname48216            4.80             6.60
Name66403       Surname66403            4.00             5.20
Name66404       Surname66404            4.40             6.80
Name66405       Surname66405            4.60             6.40
Name48213       Surname48213            4.40             6.80
Name48209       Surname48209            4.40             2.60
Name48208       Surname48208            4.40             2.60
Name66409       Surname66409            3.20             5.60
Name48206       Surname48206            3.60             3.00
Name48205       Surname48205            4.80             4.20
Name66412       Surname66412            4.20             6.60
Name48204       Surname48204            4.80             3.00
Name66414       Surname66414            4.80             7.20
Name48201       Surname48201            3.20             3.80
Name48200       Surname48200            3.20             2.00
Name66417       Surname66417            3.00             3.00
Name48199       Surname48199            4.60             3.40
Name48198       Surname48198            3.40             3.40
Name48194       Surname48194            4.60             5.80
Name48192       Surname48192            4.60             5.20
Name66422       Surname66422            4.40             4.40
Name48191       Surname48191            3.80             5.60
Name48190       Surname48190            3.00             4.20
Name66425       Surname66425            2.80             3.40
Name66426       Surname66426            3.20             2.00
Name48180       Surname48180            4.60             3.40
Name48179       Surname48179            4.60             6.40
Name48178       Surname48178            1.60             4.60
Name48174       Surname48174            4.80             4.20
Name48171       Surname48171            4.40             3.80
Name48170       Surname48170            4.80             4.80
Name66433       Surname66433            4.40             5.60
Name48166       Surname48166            4.40             1.40
Name48162       Surname48162            3.60             6.00
Name48159       Surname48159            3.20             5.00
Name66437       Surname66437            3.60             2.40
Name48155       Surname48155            4.40             5.00
Name48150       Surname48150            3.40             2.80
Name48145       Surname48145            4.00             6.40
Name48141       Surname48141            4.00             2.80
Name48140       Surname48140            4.00             5.20
Name48136       Surname48136            4.00             4.60
Name48135       Surname48135            3.80             4.40
Name66445       Surname66445            4.40             5.60
Name66446       Surname66446            4.40             5.60
Name48125       Surname48125            3.20             6.20
Name48119       Surname48119            4.60             5.80
Name48113       Surname48113            3.80             1.40
Name66450       Surname66450            4.80             4.20
Name66451       Surname66451            3.80             2.60
Name48107       Surname48107            4.40             4.40
Name48105       Surname48105            3.40             4.00
Name48104       Surname48104            4.60             3.40
Name48102       Surname48102            3.80             5.00
Name48101       Surname48101            3.80             2.60
Name66457       Surname66457            3.40             2.80
Name48099       Surname48099            2.80             2.80
Name48094       Surname48094            2.80             1.00
Name48092       Surname48092            4.60             7.60
Name66461       Surname66461            4.40             2.60
Name48088       Surname48088            4.40             7.40
Name66463       Surname66463            3.60             2.40
Name66464       Surname66464            2.80             1.00
Name66465       Surname66465            4.20             4.20
Name66466       Surname66466            3.60             3.00
Name66467       Surname66467            4.40             2.60
Name48087       Surname48087            3.40             4.00
Name66469       Surname66469            4.40             4.40
Name66470       Surname66470            4.60             5.20
Name48086       Surname48086            2.00             1.40
Name48085       Surname48085            3.20             2.00
Name48084       Surname48084            4.20             6.60
Name48082       Surname48082            3.40             2.80
Name66475       Surname66475            2.80             1.60
Name48081       Surname48081            2.80             1.00
Name66477       Surname66477            4.60             5.20
Name66478       Surname66478            3.40             2.80
Name48080       Surname48080            2.80             2.20
Name66480       Surname66480            3.80             5.60
Name48079       Surname48079            3.20             5.60
Name48072       Surname48072            4.60             4.60
Name48070       Surname48070            4.60             4.60
Name48068       Surname48068            4.40             6.80
Name66485       Surname66485            4.00             2.80
Name48065       Surname48065            3.80             4.40
Name48060       Surname48060            4.60             5.80
Name48056       Surname48056            4.20             5.40
Name48055       Surname48055            4.20             4.80
Name48052       Surname48052            4.40             5.60
Name48051       Surname48051            3.40             2.20
Name48048       Surname48048            3.40             5.80
Name66493       Surname66493            4.20             4.80
Name66494       Surname66494            4.80             3.00
Name66495       Surname66495            4.80             3.60
Name48047       Surname48047            4.60             2.20
Name66497       Surname66497            3.40             2.80
Name66498       Surname66498            4.80             3.00
Name48044       Surname48044            4.00             4.00
Name48043       Surname48043            3.80             3.80
Name48040       Surname48040            3.80             5.00
Name66502       Surname66502            4.20             5.40
Name48039       Surname48039            4.00             2.80
Name48038       Surname48038            4.40             3.20
Name66505       Surname66505            4.60             6.40
Name66506       Surname66506            4.80             6.00
Name66507       Surname66507            4.00             3.40
Name66508       Surname66508            3.80             6.20
Name66509       Surname66509            4.20             3.00
Name48036       Surname48036            3.20             2.60
Name66511       Surname66511            4.60             5.20
Name48034       Surname48034            4.40             3.80
Name66513       Surname66513            2.80             2.80
Name48030       Surname48030            4.80             3.60
Name66515       Surname66515            3.00             7.20
Name48024       Surname48024            3.40             3.40
Name48022       Surname48022            4.40             3.20
Name48019       Surname48019            4.40             6.80
Name48017       Surname48017            4.00             6.40
Name48016       Surname48016            4.60             4.00
Name66521       Surname66521            4.20             4.20
Name48014       Surname48014            4.40             5.60
Name48013       Surname48013            4.00             2.20
Name48012       Surname48012            3.60             1.80
Name48011       Surname48011            4.40             6.80
Name48010       Surname48010            4.00             7.00
Name48009       Surname48009            4.20             6.60
Name48006       Surname48006            2.60             1.40
Name48005       Surname48005            4.00             2.80
Name48004       Surname48004            4.00             2.20
Name66531       Surname66531            3.80             2.00
Name66532       Surname66532            3.60             2.40
Name48003       Surname48003            4.80             3.60
Name66534       Surname66534            4.40             6.20
Name66535       Surname66535            3.40             5.80
Name47999       Surname47999            4.80             7.80
Name47997       Surname47997            4.40             6.80
Name47995       Surname47995            4.00             5.80
Name47994       Surname47994            4.60             3.40
Name47993       Surname47993            3.80             3.80
Name47992       Surname47992            3.80             3.80
Name66542       Surname66542            3.40             5.20
Name66543       Surname66543            4.40             3.20
Name47989       Surname47989            4.00             2.20
Name66545       Surname66545            4.40             6.80
Name66546       Surname66546            4.60             3.40
Name66547       Surname66547            2.60             5.00
Name47988       Surname47988            4.20             2.40
Name47987       Surname47987            1.00             2.20
Name47984       Surname47984            4.20             3.00
Name47981       Surname47981            4.60             4.00
Name47978       Surname47978            3.60             5.40
Name47976       Surname47976            4.80             5.40
Name66554       Surname66554            3.40             4.00
Name66555       Surname66555            4.20             4.80
Name47974       Surname47974            4.60             6.40
Name47972       Surname47972            2.60             2.00
Name47971       Surname47971            4.40             2.60
Name66559       Surname66559            4.60             7.60
Name66560       Surname66560            4.80             4.80
Name66561       Surname66561            4.60             2.80
Name47969       Surname47969            2.80             1.00
Name47966       Surname47966            4.00             6.40
Name47962       Surname47962            3.20             2.60
Name66565       Surname66565            3.60             4.80
Name47955       Surname47955            4.60             5.80
Name47953       Surname47953            4.00             2.20
Name47952       Surname47952            4.40             6.80
Name47951       Surname47951            3.40             2.80
Name47949       Surname47949            4.60             6.40
Name47948       Surname47948            4.00             2.80
Name47945       Surname47945            3.20             5.60
Name47940       Surname47940            2.80             2.20
Name66574       Surname66574            3.80             2.60
Name47938       Surname47938            3.80             1.40
Name47937       Surname47937            3.40             2.20
Name47933       Surname47933            4.60             2.20
Name47930       Surname47930            3.40             5.20
Name47929       Surname47929            3.60             4.80
Name66580       Surname66580            3.20             4.40
Name47926       Surname47926            3.60             2.40
Name47925       Surname47925            2.20             2.20
Name66583       Surname66583            4.80             3.60
Name66584       Surname66584            3.40             5.20
Name47921       Surname47921            4.00             4.60
Name66586       Surname66586            4.00             7.00
Name47920       Surname47920            4.40             5.00
Name66588       Surname66588            4.60             3.40
Name47918       Surname47918            4.80             3.60
Name66590       Surname66590            3.80             6.20
Name47912       Surname47912            4.60             4.60
Name66592       Surname66592            4.80             7.20
Name66593       Surname66593            3.60             3.60
Name47909       Surname47909            3.60             4.20
Name47907       Surname47907            3.80             4.40
Name66596       Surname66596            2.20             2.20
Name47904       Surname47904            4.20             4.20
Name47901       Surname47901            3.80             5.00
Name66599       Surname66599            3.80             4.40
Name47900       Surname47900            4.40             3.80
Name66601       Surname66601            2.80             5.80
Name47899       Surname47899            3.40             4.60
Name47897       Surname47897            4.20             5.40
Name66604       Surname66604            4.00             4.60
Name66605       Surname66605            4.60             3.40
Name66606       Surname66606            2.60             2.00
Name66607       Surname66607            4.00             5.20
Name47896       Surname47896            4.20             2.40
Name47893       Surname47893            3.80             6.20
Name66610       Surname66610            3.20             3.20
Name47892       Surname47892            4.80             5.40
Name66612       Surname66612            3.60             2.40
Name66613       Surname66613            4.40             4.40
Name47891       Surname47891            4.80             6.60
Name66615       Surname66615            4.60             5.20
Name47887       Surname47887            4.20             4.80
Name47885       Surname47885            2.20             2.20
Name66618       Surname66618            2.60             3.20
Name47881       Surname47881            4.80             7.20
Name66620       Surname66620            3.40             4.00
Name66621       Surname66621            2.00             2.60
Name47879       Surname47879            4.60             7.60
Name66623       Surname66623            3.80             3.80
Name47878       Surname47878            4.20             4.20
Name47875       Surname47875            3.60             1.80
Name66626       Surname66626            2.60             1.40
Name47874       Surname47874            3.80             5.00
Name47870       Surname47870            4.60             2.80
Name47868       Surname47868            4.20             3.00
Name66630       Surname66630            4.60             5.80
Name47864       Surname47864            4.20             2.40
Name66632       Surname66632            4.20             3.00
Name66633       Surname66633            2.20             2.20
Name47860       Surname47860            3.40             4.00
Name66635       Surname66635            4.80             5.40
Name66636       Surname66636            4.00             4.00
Name66637       Surname66637            3.80             2.60
Name47858       Surname47858            3.80             8.00
Name66639       Surname66639            4.60             5.20
Name66640       Surname66640            3.80             6.80
Name47856       Surname47856            2.80             4.60
Name47855       Surname47855            4.80             5.40
Name47854       Surname47854            3.60             3.60
Name47852       Surname47852            3.40             4.00
Name47851       Surname47851            3.60             4.20
Name47848       Surname47848            3.20             5.00
Name47847       Surname47847            4.40             3.20
Name47846       Surname47846            4.60             6.40
Name47838       Surname47838            3.80             6.80
Name66650       Surname66650            4.80             5.40
Name47836       Surname47836            3.40             2.80
Name66652       Surname66652            3.20             1.40
Name47835       Surname47835            3.20             3.80
Name47831       Surname47831            4.00             5.80
Name66655       Surname66655            4.00             2.20
Name66656       Surname66656            4.40             4.40
Name47828       Surname47828            4.40             2.60
Name47826       Surname47826            4.00             2.20
Name47824       Surname47824            4.00             2.80
Name47821       Surname47821            4.80             4.20
Name47812       Surname47812            4.40             6.80
Name47810       Surname47810            4.60             3.40
Name47809       Surname47809            4.40             2.60
Name47808       Surname47808            3.20             3.80
Name66665       Surname66665            3.40             4.00
Name47803       Surname47803            3.40             5.20
Name47801       Surname47801            3.40             2.80
Name47798       Surname47798            4.20             7.20
Name47793       Surname47793            4.60             6.40
Name47792       Surname47792            4.20             6.00
Name66671       Surname66671            3.80             3.20
Name47788       Surname47788            4.40             3.80
Name66673       Surname66673            3.40             3.40
Name47786       Surname47786            4.00             3.40
Name47784       Surname47784            3.40             5.80
Name66676       Surname66676            3.20             3.80
Name47779       Surname47779            4.00             4.60
Name66678       Surname66678            4.60             4.00
Name47775       Surname47775            4.80             2.40
Name66680       Surname66680            2.80             2.20
Name66681       Surname66681            4.80             4.80
Name47774       Surname47774            4.60             2.20
Name47771       Surname47771            4.40             5.60
Name47768       Surname47768            3.40             4.00
Name47766       Surname47766            4.40             3.80
Name47764       Surname47764            3.00             3.00
Name66687       Surname66687            3.60             4.20
Name66688       Surname66688            4.60             2.80
Name47760       Surname47760            4.80             3.60
Name66690       Surname66690            3.80             3.20
Name47759       Surname47759            3.40             3.40
Name47757       Surname47757            4.80             2.40
Name66693       Surname66693            3.80             2.00
Name47753       Surname47753            2.80             3.40
Name47752       Surname47752            4.20             3.60
Name66696       Surname66696            4.60             3.40
Name47751       Surname47751            3.40             1.60
Name47747       Surname47747            2.00             1.40
Name66699       Surname66699            4.00             4.00
Name66700       Surname66700            4.40             4.40
Name66701       Surname66701            4.40             6.20
Name47746       Surname47746            2.60             1.40
Name66703       Surname66703            3.40             1.00
Name66704       Surname66704            4.80             6.00
Name66705       Surname66705            4.00             1.60
Name47744       Surname47744            3.40             4.60
Name66707       Surname66707            3.00             4.20
Name47742       Surname47742            3.80             3.80
Name47741       Surname47741            3.60             6.00
Name47738       Surname47738            3.20             3.20
Name47733       Surname47733            3.80             2.00
Name66712       Surname66712            4.60             5.80
Name47731       Surname47731            4.40             3.80
Name66714       Surname66714            4.40             3.20
Name47725       Surname47725            4.40             3.80
Name66716       Surname66716            4.80             4.80
Name47721       Surname47721            4.00             5.80
Name47713       Surname47713            4.00             7.60
Name47712       Surname47712            3.80             3.20
Name47711       Surname47711            4.40             6.80
Name47710       Surname47710            4.20             1.80
Name47709       Surname47709            1.60             2.80
Name66723       Surname66723            4.80             4.20
Name47702       Surname47702            4.40             2.60
Name47698       Surname47698            3.80             3.20
Name47696       Surname47696            2.20             2.80
Name66727       Surname66727            2.80             2.80
Name66728       Surname66728            3.80             5.00
Name47688       Surname47688            4.60             5.20
Name66730       Surname66730            4.00             5.80
Name66731       Surname66731            4.40             3.80
Name66732       Surname66732            4.60             4.60
Name47684       Surname47684            4.00             4.00
Name47683       Surname47683            4.80             6.60
Name47681       Surname47681            2.80             1.60
